question,variant,virtual_time,resolved_fraction,mean_unresolved_coverage_est
q4,a4_nearest_cert,11428.537,0.1000,0.0000
q4,a4_nearest_cert,11503.465,0.1000,0.0000
q4,a4_nearest_cert,11578.393,0.1000,0.0000
q4,a4_nearest_cert,11653.321,0.1000,0.0000
q4,a4_nearest_cert,11728.250,0.1000,0.0000
q4,a4_nearest_cert,11808.250,0.1000,0.0000
q4,a4_nearest_cert,11883.178,0.1000,0.0000
q4,a4_nearest_cert,11958.106,0.1000,0.0000
q4,a4_nearest_cert,12033.034,0.1000,0.0000
q4,a4_nearest_cert,12107.962,0.1000,0.0000
q4,a4_nearest_cert,12182.891,0.1000,0.0000
q4,a4_nearest_cert,12257.819,0.1000,0.0000
q4,a4_nearest_cert,12332.747,0.1000,0.0000
q4,a4_nearest_cert,12407.675,0.1000,0.0000
q4,a4_nearest_cert,12484.603,0.1500,0.0000
q4,a4_nearest_cert,12490.603,0.1500,0.0000
q4,a4_nearest_cert,12496.603,0.1500,0.0000
q4,a4_nearest_cert,12779.319,0.1500,0.0000
q4,a4_nearest_cert,12785.319,0.1500,0.0000
q4,a4_nearest_cert,12904.839,0.1500,0.0000
q4,a4_nearest_cert,12910.839,0.1500,0.0000
q4,a4_nearest_cert,13216.088,0.1500,0.0000
q4,a4_nearest_cert,13291.016,0.1500,0.0000
q4,a4_nearest_cert,13365.944,0.1500,0.0000
